"id","otel_ad","fiyat","imageurl","score","fiyat_araligi","bolge","hava_alanina_uzakligi","denize_uzakligi","plaj","iskele","a_la_carte_restoran","asansor","acik_restoran","kapali_restoran","acik_havuz","kapali_havuz","bedensel_engelli_odasi","bar","su_kaydiragi","balo_salonu","kuafor","otopark","market","sauna","doktor","beach_voley","fitness","canli_eglence","wireless_internet","animasyon","sorf","parasut","arac_kiralama","kano","spa","masaj","masa_tenisi","cocuk_havuzu","cocuk_parki"
335,Ni Marin Hotel,"14.599,20 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13815/1050X700/tsr13815638451482109226406.jpg,"","13000-15000",Bodrum - Güllük ,"15 km, Milas ",Denize Sıfır,"0",1,1,0,0,1,2,0,0,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
337,Olive Tree Hotel,"14.400,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12612/1050X700/tsr12612637962833544317405.jpg,"","13000-15000",Bodrum - Gündoğan ,"50 km, Milas ","50 - 100 Metre Arası","0",0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
740,Otto Palace Boutique Hotel,"8.277,64 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12260/1050X700/tsr12260637837989349613095.jpg,"","7000-9000",Antalya - Adrasan ,"No Info km, No Info",No Info,Halk Plajı,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
741,Park Ulusoy Hotel,"8.184,96 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13032/1050X700/tsr13032638348639677036951.jpg,"","7000-9000",İzmir - Bornova ,"No Info km, No Info",No Info,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Museum Resort Spa,"5.700,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12031/1050X700/tsr12031638048998498361177.jpg,"7,3","5000-7000",Bodrum - Bodrum Merkez-Azmakbaşı ,"35 km, Milas HA ","750 Metre ve Üzeri",Halk Plajı,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
10,Aydınbey Queen`s Palace Hotel,"23.120,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/08559/1050X700/tsr08559637737064732013827.jpg,"8","23000-25000",Antalya - Belek-Kadriye ,"20 km, Antalya HA ","750 Metre ve Üzeri",Mavi Bayraklı Özel Plaj,0,2,1,1,1,2,1,1,4,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0
98,Larissa Sultans Beach Hotel,"8.976,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/00330/1050X700/tsr00330638161311474529945.jpg,"8","7000-9000",Antalya - Kemer-Çamyuva ,"65 km, Antalya HA ","50 - 100 Metre Arası",Özel Plaj,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1
35,Kirman Calyptus Resort Spa,"23.922,88 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/11421/1050X700/tsr11421638489584928442328.jpg,"8,5","23000-25000",Antalya - Side ,"60 km, Antalya HA ","400 - 500 Metre Arası",Özel Plaj,1,2,1,1,1,1,1,0,6,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1
53,Ramada Resort Bodrum,"22.110,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/00093/1050X700/tsr00093638409303764059873.gif,"7,7","21000-23000",Bodrum - Bitez ,"40 km, Milas ","750 Metre ve Üzeri",Özel Plaj,0,1,1,1,1,1,1,1,4,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0
445,Miranda Moral Beach Hotel,"20.659,20 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12309/1050X700/tsr12309637856232055793612.jpg,"","19000-21000",Antalya - Kemer ,"No Info km, No Info",No Info,Halk Plajı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
